Mason County,B-,Same as yesterday
Swisher County,B-,Same as yesterday
Duval County,B-,Same as yesterday
San Saba County,B-,Same as yesterday
Sabine County,B-,Same as yesterday
Lavaca County,B-,Same as yesterday
Crane County,B-,Same as yesterday
Newton County,B-,Same as yesterday
Goliad County,B-,Same as yesterday
Baylor County,B-,Same as yesterday
Fisher County,B-,Same as yesterday
Concho County,B-,Same as yesterday
Archer County,B-,Same as yesterday
Dimmit County,B-,Same as yesterday
Castro County,B-,Same as yesterday
Sanpete County,B-,Same as yesterday
Duchesne County,B-,Same as yesterday
Buchanan County,B-,Same as yesterday
Patrick County,B-,Same as yesterday
Southampton County,B-,Same as yesterday
Westmoreland County,B-,Same as yesterday
Floyd County,B-,Same as yesterday
Buckingham County,B-,Same as yesterday
King and Queen County,B-,Same as yesterday
Charlotte County,B-,Same as yesterday
Madison County,B-,Same as yesterday
Wahkiakum County,B-,Same as yesterday
Pacific County,B-,Same as yesterday
Skamania County,B-,Same as yesterday
Pend Oreille County,B-,Same as yesterday
Green Lake County,B-,Same as yesterday
Forest County,B-,Same as yesterday
Taylor County,B-,Same as yesterday
Price County,B-,Same as yesterday
Lafayette County,B-,Same as yesterday
Washburn County,B-,Same as yesterday
Rusk County,B-,Same as yesterday
McDowell County,B-,Same as yesterday
Calhoun County,B-,Same as yesterday
Roane County,B-,Same as yesterday
Washakie County,B-,Same as yesterday
Weston County,B-,Same as yesterday
Buena Vista County,C+,Up from yesterday
Bannock County,C+,Up from yesterday
Shelby County,C+,Up from yesterday
Ellis County,C+,Up from yesterday
Barnstable County,C+,Up from yesterday
York County,C+,Up from yesterday
Alpena County,C+,Up from yesterday
Grand Traverse County,C+,Up from yesterday
Washtenaw County,C+,Up from yesterday
Midland County,C+,Up from yesterday
Winona County,C+,Up from yesterday
Cheshire County,C+,Up from yesterday
Hillsborough County,C+,Up from yesterday
Monmouth County,C+,Up from yesterday
Otero County,C+,Up from yesterday
Albany County,C+,Up from yesterday
Orange County,C+,Up from yesterday
Clatsop County,C+,Up from yesterday
Lane County,C+,Up from yesterday
Huntingdon County,C+,Up from yesterday
Tioga County,C+,Up from yesterday
Lancaster County,C+,Up from yesterday
Zapata County,C+,Up from yesterday
Fairfax County,C+,Up from yesterday
Kittitas County,C+,Up from yesterday
Ozaukee County,C+,Up from yesterday
Marion County,C+,Up from yesterday
Clark County,C+,Same as yesterday
Pima County,C+,Same as yesterday
San Francisco County,C+,Same as yesterday
Santa Clara County,C+,Same as yesterday
Mesa County,C+,Same as yesterday
Teller County,C+,Same as yesterday
Denver County,C+,Same as yesterday
District of Columbia,C+,Same as yesterday
Orange County,C+,Same as yesterday
Thomas County,C+,Same as yesterday
Perry County,C+,Same as yesterday
Rowan County,C+,Same as yesterday
Orleans Parish,C+,Same as yesterday
Middlesex County,C+,Same as yesterday
Norfolk County,C+,Same as yesterday
Suffolk County,C+,Same as yesterday
Montgomery County,C+,Same as yesterday
Kennebec County,C+,Same as yesterday
Clinton County,C+,Same as yesterday
Oakland County,C+,Same as yesterday
Silver Bow County,C+,Same as yesterday
Hertford County,C+,Same as yesterday
Grand Forks County,C+,Same as yesterday
Essex County,C+,Same as yesterday
Morris County,C+,Same as yesterday
Bergen County,C+,Same as yesterday
Somerset County,C+,Same as yesterday
Union County,C+,Same as yesterday
Doña Ana County,C+,Same as yesterday
Washoe County,C+,Same as yesterday
Suffolk County,C+,Same as yesterday
Westchester County,C+,Same as yesterday
Saratoga County,C+,Same as yesterday
Kings County,C+,Same as yesterday
Rockland County,C+,Same as yesterday
Queens County,C+,Same as yesterday
Nassau County,C+,Same as yesterday
Richmond County,C+,Same as yesterday
Bronx County,C+,Same as yesterday
McKean County,C+,Same as yesterday
Greene County,C+,Same as yesterday
Bandera County,C+,Same as yesterday
Alexandria city,C+,Same as yesterday
Falls Church city,C+,Same as yesterday
Grays Harbor County,C+,Same as yesterday
Douglas County,C+,Same as yesterday
Dane County,C+,Same as yesterday
Portage County,C+,Same as yesterday
Door County,C+,Same as yesterday
Jefferson County,C+,Same as yesterday
Natrona County,C+,Same as yesterday
Monroe County,C+,Up from yesterday
San Benito County,C+,Up from yesterday
Madera County,C+,Up from yesterday
Ventura County,C+,Up from yesterday
Larimer County,C+,Up from yesterday
Las Animas County,C+,Up from yesterday
Douglas County,C+,Up from yesterday
McIntosh County,C+,Up from yesterday
Jackson County,C+,Up from yesterday
Clinton County,C+,Up from yesterday
Crawford County,C+,Up from yesterday
Jackson County,C+,Up from yesterday
Sagadahoc County,C+,Up from yesterday
